meaning,name
"- adjective
+ có liên quan đến sóng âm
",sonic
"- adverb
+ chẳng bao lâu nữa, chẳng mấy chốc nữa
+ sớm , nhanh
+ vui lòng, tự nguyện
",soon
"- noun
+ bài hát
+ tiếng hát
+ tiếng hót
",song
"- noun
+ hệ thống sonar
",sonar system
"- noun
+ chim biết hót
",songbird
"- noun
+ thiết bị định vị sonar
",sonar
"- adverb
+ có phần, hơi chút
",somewhat
"- interjection
+ kẻ đáng ghét
",son of a bitch
"- noun
+ con trai
",son
"- adverb
+ trong, ở, đến một nơi nào đó
",somewhere
"- adverb
+ một lúc nào đó
",sometime
"- adverb
+ thỉnh thoảng
",sometimes
"- noun
+ con rể
",son-in-law
"- adverb
+ không biết làm sao
",somehow
"- pronoun
+ một điều gì đó, một cái gì đó
+ cái gì đó quan trọng
",something
"- pronoun
+ người nào đó
+ một người quan trọng
",someone
"- noun
+ cú nhảy lộn nhào
- verb
+ biểu diễn nhào lộn
",somersault
"- adverb
+ ngày nào đó
",someday
"- pronoun
+ người nào đó
",somebody
"- pronoun
+ một vài, vài ba
+ một lượng không xác định
+ một vài, một ít
+ nào đó
- adjective
+ một số lượng đáng kể
+ không được nêu tên hay nhận ra
+ ước chừng
- adverb
+ có phần, một chút
",some
"- adjective
+ có khả năng thanh toán
- noun
+ dung môi
",solvent
"- adjective
+ màu thẫm
+ trang nghiêm, nghiêm nghị
",sombre
"- verb
+ giải, tìm ra lời giải
+ phá(án)
",solve
"- noun
+ giải pháp, cách giải quyết
+ lời giải, bài giải
+ dung dịch, sự hòa tan
",solution
"- noun
+ hòa tan
",solute
"- noun
+ độ hòa tan
",solubility
"- noun
+ đơn ca, độc tấu
- adjective
+ liên quan đến một mình, tự mình
",solo
"- noun
+ sự biệt giam
",solitary confinement
"- adjective
+ có thể hòa tan
+ có thể giải quyết, giải thích
",soluble
"- noun
+ cô độc
",solitude
"- noun
+ người đơn ca, nghệ sĩ độc tấu
",soloist
"- noun
+ điểm chí (thiên văn học)
",solstice
"- adjective
+ đơn độc
+ thích ở một mình
+ chỉ có một
",solitary
"- noun
",solidity
"- noun
",solidness
"- noun
",solidification
"- noun
+ tình đoàn kết
",solidarity
"- verb
+ làm cho đặc lại, trở nên cứng
",solidify
"- adverb
+ một cách vững vàng
+ liên tục
+ nhất trí, đồng lòng
",solidly
"- adjective
+ mất tiếng, không nói được
",speechless
"- noun plural
+ dấu ngoặc kép
",speech marks
"- noun
+ khung ghi lời thoại
",speech bubble
"- verb
+ đầu cơ
",speculate
"- noun
+ khả năng, hành động nói
+ lời nói
+ cách nói , lối nói
+ bài diễn thuyết
",speech
"- noun
+ con ma, bóng ma
",spectre
"- noun
+ sự suy đoán
+ sự đầu cơ
",speculation
"- noun
+ người xem, khán giả
",spectator
"- noun
+ hình ảnh
+ một chuỗi đầy đủ, chuỗi rộng
+ quang phổ
+ loạt những dải âm thanh tương tự quang phổ
",spectrum
"- verb
+ có mặt với tư cách người xem
",spectate
"- adverb
",spectacularly
"- adjective
+ đẹp mắt, ngoạn mục
+ ấn tượng
",spectacular
"- noun
+ đốm nhỏ
+ hạt bụi
",speck
"- noun plural
+ kính đeo mắt
",spectacles
"- adjective
+ có những đốm nhỏ
",speckled
"- noun
+ vết lốm đốm
",speckle
"- noun
+ quang cảnh, cảnh tượng
",spectacle
"- noun
+ mẫu, mẫu vật
",specimen
"- noun plural
+ kính đeo mắt
",specs
"- verb
+ ghi rõ, định rõ
+ chỉ rõ
",specify
"- adverb
+ chỉ dành cho
+ đặc biệt, riêng biệt
",specially
"- adverb
",specifically
"- noun plural
+ chi tiết
",specifics
"- adjective
+ chuyên dụng, chuyên
",specialized
"- adjective
+ rõ ràng , cụ thể
+ đặc trưng, riêng biệt
",specific
"- verb
+ chuyên về, chuyên gia về
",specialize
"- noun
+ loài
+ loại, kiểu , hạng
",species
"- noun
",specialization
"- noun
+ sự chạy nhanh
+ chạy nước rút
- verb
+ chạy nước rút
",sprint
"- noun
+ thời kì mùa xuân
",springtime
"- noun
+ một số lượng nhỏ
",sprinkling
"- verb
+ rắc, tưới
",sprinkle
"- noun
",springiness
"- noun
+ bình tưới
",sprinkler
"- adjective
+ đàn hồi
+ nhún nhảy
",springy
"- phrasal verb
+ nhảy, mọc lên bất ngờ
",spring up
"- noun
+ ván nhún
+ ván dận
",springboard
"- noun
+ sự lau sạch
",spring cleaning
"- noun
+ hành tươi
",spring onion
"- verb
+ nhảy
+ xuất phát từ
+ bật mạnh
- noun
+ lò xo
+ mùa xuân
+ bước nhảy
+ tính đàn hồi
+ con nước
",spring
"- noun
+ chương trình bảng tính
+ bảng tính
",spreadsheet
"- noun
+ cành non, chồi
",sprig
"- adjective
",sprawling
"- phrasal verb
+ trải rộng
+ bày ra, kéo căng ra
+ giăng ra
",spread out
"- verb
+ giăng, bày ra
+ rải
+ lan truyền
+ truyền bá
+ kéo, giăng
- noun
+ sự phổ biến
+ sự rải
+ dải rộng
",spread
"- noun
+ bụi nước
+ bình phun, xịt
+ chất lỏng dưới dạng bụi
- verb
+ bắn tung tóe
+ phun, xịt
",spray
"- verb
+ nằm dài ra, ưỡn ra
+ nằm ngổn ngang
- noun
+ sự nằm ườn ra
+ đống ngổn ngang
",sprawl
"- verb
+ làm bong gân
- noun
+ sự bong gân
",sprain
"- noun
+ chồng, vợ
",spouse
"- noun
",spottiness
"- verb
+ phun ra, bắn ra
+ ngâm thơ
- noun
+ vòi ấm
+ cột nước
",spout
"- adjective
+ có những đốm
",spotty
"- adjective
+ có đốm
",spotted
"- noun
+ đèn pha
- verb
+ rọi sáng
+ lôi cuốn sự chú ý
",spotlight
"- adverb
",spotlessly
"- noun
",spotlessness
"- noun
+ người thích thể thao
+ người có tinh thần thể thao
",sportsman
"- noun
+ quần thể thao
",sportswear
"- noun
+ vết nhơ, vết đen
+ đốm, dấu , vết
+ đốm
+ nơi chốn
+ một chút, một ít
- verb
+ nhận ra
+ phát hiện
",spot
"- noun
+ cuộc kiểm tra đột xuất
",spot check
"- adjective
+ sạch sẽ
",spotless
"- noun
+ áo vét của nam
",sports jacket
"- adjective
+ ham mê thể thao
+ bảnh bao
+ dáng thể thao
",sporty
"- adjective
+ chính xác
",spot on
"- adjective
+ chứa nhiều gia vị
",spiced
"- noun
+ chất dịch chứa tinh trùng
+ tinh dịch
",sperm
"- noun
+ gia vị
+ điều làm thêm hấp dẫn
- verb
+ cho gia vị
",spice
"- noun
+ hình cầu, quả cầu
",sphere
"- adjective
+ thuộc hình cầu
",spherical
"- adjective
+ tàn lụi
+ kiệt sức, mệt lử
",spent
"- noun
+ tinh trùng
",spermatozoon
"- noun
+ người ăn tiêu hoang phí
",spendthrift
"- noun
+ chương trình kiểm tra lỗi chính tả
",spell-checker
"- verb
+ đánh vần
+ viết theo chính tả
+ đánh vần, viết vần
+ báo hiệu
- noun
+ câu thần chú, bùa mê
+ sức quyến rũ
- noun
+ đợt, lượt, phiên
+ một đợt
+ thời gian ngắn
",spell
"- noun
+ chương trình chữa lỗi chính tả
+ người đánh vần
+ sách học vần
",speller
"- noun
",spelling
"- verb
+ tiêu, chi tiêu
+ tiêu thời gian, dùng thời giờ
",spend
"- adjective
+ nhanh
",speedy
"- noun
+ công tơ mét
",speedometer
"- verb
+ kiểm tra lỗi chính tả
",spell-check
"- noun
",speediness
"- noun
+ vật cản làm giảm tốc độ
",speed bump
"- phrasal verb
+ tăng tốc
+ xúc tiến, đẩy mạnh
",speed up
"- adverb
",speedily
"- noun
+ thuyền máy
- noun
+ xuồng cao tốc
",speedboat
"- noun
+ sự chạy quá tốc độ quy định
",speeding
"- noun
+ hệ thống ra đa phát hiện xe chạy quá tốc độ
",speed trap
"- noun
+ giới hạn tốc độ
",speed limit
"- adverb
",speechlessly
"- noun plural
+ nhu cầu đặc biệt
",special needs
"- noun
+ chuyên gia, chuyên khoa
",specialist
"- noun
+ đặc sản
+ chuyên ngành
",speciality
"- noun
",speechlessness
"- noun
+ nhiên liệu cứng
",solid fuel
"- adjective
+ đặc biệt, riêng biệt
+ riêng, dành riêng
- noun
+ chuyến xe lửa đặc biệt
",special
"- noun
+ tổ mũi nhọn, tổ xung kích
- verb
+ làm mũi nhọn dẫn đầu
",spearhead
"- noun
+ cái mác, cái thương
- verb
+ xiên cá, đâm bằng giáo
",spear
"- phrasal verb
+ nói to hơn
",speak up
"- adjective
+ nói lên, biểu lộ
+ dùng để nói, nói được
",speaking
"- phrasal verb
+ nói toạc ý kiến của mình
",speak out
"- noun
+ người nói
+ loa phóng thanh
",speaker
"- noun
+ tốc độ
+ sự nhanh chóng
- verb
+ chạy nhanh
+ chạy quá tốc độ quy định
",speed
"- noun
+ trứng cá, ếch…
- verb
+ đẻ trứng
",spawn
"- phrasal verb
+ tự nó nói lên
",speak for itself/themselves
"- noun
+ chứng liệt co cứng
",spastic
"- verb
+ nói, phát ra lời
+ nói chuyện
+ nói được
+ nói rõ, chứng tỏ
+ phát biểu, diễn thuyết
",speak
"- noun
+ bàn xẻng, dao bay
",spatula
"- noun
",sparseness
"- noun
+ sự co thắt
",spasm
"- adjective
+ thưa thớt, rải rác
",sparse
"- adverb
",sparsely
"- noun
+ chim sẻ
",sparrow
"- noun
+ xe hơi đua
",sports car
"- adjective
+ thuộc, liên quan đến thể thao
+ có tinh thần thượng võ; thẳng thắn
",sporting
"- adjective
+ phù hợp với thể thao
",sports
"- noun
+ thể thao
+ môn thể thao
+ người có tinh thần độ lượng
+ sự giải trí, trò vui
- verb
+ chưng diện
",sport
"- noun
+ bào tử
",spore
"- adverb
",sporadically
"- adjective
+ rải rác
",sporadic
"- verb
+ cho trẻ em ăn bằng thìa
+ nhồi nhét nhiều kiến thức
",spoon-feed
"- noun
+ thìa
",spoonful
"- noun
+ cái thìa
+ lượng mà thìa có thể đựng
- verb
+ dùng thìa múc cái gì lên
",spoon
"- noun
+ ống chỉ
+ số lượng chỉ cuộn nơi một ống chỉ
",spool
"- noun
+ người cùng đấu với võ sĩ quyền anh trong buổi tập
+ người mà mình thích thường xuyên tranh luận
",sparring-partner
"- noun
+ ma quỷ
",spook
"- noun
",spookiness
"- adjective
+ như ma quỷ
",spooky
"- noun
+ sự tóe lửa, sự lấp lánh
+ sự sắc sảo, lanh lợi
- verb
+ tóe lửa, lấp lánh
+ tỏ ra sắc sảo, linh lợi
",sparkle
"- adjective
+ sủi tăm
+ sinh động
",sparkling
"- adverb
",sparingly
"- noun
+ sườn lợn lọc gần hết thịt
",spare rib
"- noun
+ trụ , cột
- verb
+ luyên tập thi đấu quyền anh
+ đấu khẩu
",spar
"- verb
+ không cần đến
+ dành cho
+ tha thứ
+ tiết kiệm, miễn cho
+ để dành, tiết kiệm
+ tránh phiền phức
- adjective
+ thừa, dư
+ rỗi rãi, tự do
- noun
+ phụ tùng thay thế
+ đồ dự phòng
",spare
"- adjective
+ tiết kiệm
",sparing
"- noun
+ phần để thay thế bộ phận máy hỏng
",spare part
"- noun
+ bugi đánh lửa
",spark plug
"- noun
+ tia lửa, tia sáng
+ tia lóe, chấm sáng lóe
+ dấu hiệu
- verb
+ phát ra tia lửa
+ khuấy động
",spark
"- noun
+ cờ lê
",spanner
"- verb
+ gửi nhiều bản sao của một thông điệp
",spam
"- verb
+ phát, đánh vào mông
- noun
+ cú phát, đánh vào mông
",spank
"- noun
+ giống chó xpanhơn
",spaniel
"- noun plural
+ một con bài trong hoa đó
",spades
"- noun
+ nhịp cầu
+ khoảng thời gian
- verb
+ kéo dài qua , bắc qua
",span
"- noun
+ cái thuổng, cái xẻng
- noun
+ con pích
",spade
"- noun
+ món mì ống
",spaghetti
"- noun
+ con tàu vũ trụ
",spacecraft
"- adverb
",spaciously
"- noun
+ bộ quần áo vũ trụ
",spacesuit
"- noun
+ khoảng cách chừa lại giữa những vật
",spacing
"- noun
",spaciousness
"- adjective
+ rộng rãi, có nhiều chỗ
",spacious
"- adjective
+ rất hiện đại , rất tiên tiến
",space-age
"- noun
+ con tàu vũ trụ
",spaceship
"- noun
+ đỗ tương, đậu nành
",soya bean
"- noun
+ đậu nành
+ hạt đậu nành
+ sản phẩm từ đậu nành
",soy
"- noun
+ nữ hoàng, hoàng đế
- adjective
+ có chủ quyền
",sovereign
"- verb
+ gieo hạt, xạ
+ gieo rắc, gây mầm
- noun
+ con lợn nái
",sow
"- noun
+ đồ lưu niệm
",souvenir
"- adjective
+ Liên Xô (cũ)
",Soviet
"- noun
+ khoảng trống, khoảng cách
+ khoảng, chỗ
+ không gian vũ trụ
- verb
+ đặt cách nhau
",space
"- adjective
+ về phía nam, từ hướng nam
",southward
"- adverb
+ về phía nam, từ hướng nam
",southward(s)
"- noun
+ dân, người miền nam
",southerner
"- adjective
+ thổi từ phương nam
+ hướng về phương nam
",southerly
"- adjective
+ cực nam, xa nhất về phía nam
",southernmost
"- adjective
+ thổi từ đông nam
+ về, từ hướng đông nam
",south-easterly / south-westerly
"- adjective
+ thuộc, ở, của phương nam
",southern
"- noun
+ hướng đông nam, tây nam
- adjective
+ thuộc hướng đông nam, tây nam
+ từ đông nam đến
- adverb
+ về phía tây nam
",south-east / south-west
"- noun
+ miền nam
+ phương nam
- adjective
+ ở, về phía nam
+ từ phương nam đến
- adverb
+ về, hướng về phía nam
",south
"- noun plural
+ (thành ngữ) đánh chẳng được, tha làm phúc
",sour grapes
"- adverb
",sourly
"- noun
+ nguồn
+ điểm bắt đầu
",source
"- noun
",sourness
"- verb
+ làm phun, bắn ra
",squirt
"- verb
+ quằn quại, ngoằn ngoèo
+ cảm thấy lúng túng
",squirm
"- written abbreviation
+ bố
",Sr
"- noun
+ con sóc
",squirrel
"- noun
+ máy ép
",squeezer
"- noun
+ sự dẫm nát
- verb
+ dẫm, đè bẹp
",squelch
"- verb
+ có tật lác mắt
+ nheo mắt
- noun
+ tật lác mắt
+ cái liếc mắt
- adjective
+ không thẳng, xiên, lệch
",squint
"- noun
+ mực ống
",squid
"- noun
+ tiếng kêu ré
- verb
+ kêu ré lên
",squeal
"- noun
",squeakiness
"- adjective
+ cọt kẹt
",squeaky
"- verb
+ ép, vắt, nén
+ chen, ẩn
+ ép ra, bóp nặn
- noun
+ sự ôm chặt
+ sự chen chúc
+ một chút gì do vắt ra
+ sự hạn chế về tài chính
",squeeze
"- phrasal verb
+ chen chúc
",squeeze up
"- noun
+ tiêng kêu quác quác
- verb
+ kêu quác quác
",squawk
"- adverb
",squeakily
"- noun
+ tiếng kêu có âm vực cao
- verb
+ kêu cọt kẹt
",squeak
"- verb
+ ngồi xổm
- adjective
+ béo lùn
",squat
"- adjective
+ mềm, dễ ép
",squashy
"- verb
+ ép ,nén
+ bóp chết, đàn áp
- noun
+ đám đông chen nhau
+ nước uống bằng hoa quả ép
+ bóng quần
+ cây bí
",squash
"- adverb
+ thẳng thắn, trực tiếp
",squarely
"- adjective
+ có ô vuông
+ được đánh ô vuông
",squared
"- noun
+ căn bậc hai
",square root
"- verb
+ lãng phí
",squander
"- adjective
+ bẩn thỉu
",squalid
"- noun
",squalor
"- noun
+ cơn gió giật
",squall
"- noun
+ phi, liên đội
",squadron
"- noun
+ hình vuông
+ vuông
+ quảng trường
+ bình phương
- adjective
+ vuông
+ công bằng, sòng phẳng
+ mét vuông
+ lỗi thời
- adverb
+ vuông vắn
+ thẳng thắn, trực tiếp
- verb
+ làm cho vuông
+ thanh toán, trả
+ làm cho phù hợp
+ bình phương
",square
"- noun
+ xe cảnh sát
",squad car
"- verb
+ cãi nhau ầm ĩ
- noun
+ sự cãi nhau ầm ĩ
",squabble
"- noun
+ tổ
+ đội , nhóm
",squad
"- phrasal verb
+ dò xét
",spy on
"- noun
+ phần mềm gián điệp
",spyware
"- noun
+ khe nhòm
",spyhole
"- written abbreviation
+ vuông
- written abbreviation
+ quảng trường
",sq
"- noun
+ điệp viên
- verb
+ làm điệp viên
+ xem xét kĩ lưỡng
",spy
"- adjective
+ có lắp lò xo
",sprung
"- noun
+ đinh thúc ngựa
+ sự thúc đẩy
",spur
"- verb
+ phun, bắn vọt
- noun
+ sự tuôn trào
",spurt
"- adverb
",spryly
"- noun
",spryness
"- phrasal verb
+ phi nhanh, nỗ lực đặc biệt
",spur on
"- phrasal verb
+ diện , chải chuốt
",spruce up
"- adjective
+ hoạt bát
",spry
"- phrasal verb
+ phát triển
",sprout up
"- verb
+ đâm chồi, nảy mầm
+ mọc, nảy mầm
- noun
+ mầm, chồi
",sprout
"- adjective
",stereotypical
"- adjective
+ cằn cỗi, vô sinh
+ vô trùng
",sterile
"- noun
+ người chạy nước rút
",sprinter
"- adjective
+ bảnh bao
- noun
+ cây vân sam
",spruce
"- noun
+ yêu quái
",sprite
"- noun
",sterility
"- noun
+ khuôn mẫu
",stereotype
"- noun plural
+ cái thang
",steps
"- noun plural
+ đá kê bước
",stepping-stones
"- noun
+ anh, chị, em cùng cha/mẹ khác mẹ/cha
",stepsister
"- adjective
+ âm thanh nổi
- noun
+ máy nhạc âm thanh nổi
+ âm thanh nổi
",stereo
"- adjective
+ âm thanh nổi
+ máy radio âm thanh nổi
",stereophonic
"- adjective
+ lập thể
",stereoscopic
"- noun
+ con riêng
",stepson
"- noun
+ thảo nguyên
",steppe
"- noun
+ thang gấp
",stepladder
"- noun
+ khuôn tô
+ giấy nến
- verb
+ tạo ra bằng mẫu tô
",stencil
"- phrasal verb
+ bước dài
",step out
"- phrasal verb
+ can thiệp vào
",step in
"- noun
+ bố, mẹ dượng
",stepfather
"- phrasal verb
+ tăng cường, đẩy mạnh
",step up
"- phrasal verb
+ bước sang một bên, nhường chỗ
",step aside
"- noun
+ bước chân, bước
+ bước
+ tiếng bước chân, dáng đi
+ bước nhảy, điệu nhảy
+ bậc, nấc
+ bước tiến
+ biện pháp
- verb
+ bước, bước đi
- prefix
+ không phải ruột thịt
",step
"- suffix
",-stemmed
"- adjective
+ có hình sao
",stellar
"- noun
+ thân cây, cuống
+ chân
+ mũi tàu
- verb
+ xuất phát từ
- verb
+ ngăn chặn
",stem
"- noun
+ thiết bị lái
",steering
"- noun
+ bò, trâu đực non
- verb
+ lái, hướng dẫn
",steer
"- noun
+ mùi khó chịu
",stench
"- noun
+ bánh lái
",steering wheel
"- noun
",steepness
"- adverb
+ dốc, cheo leo
",steeply
"- noun
+ cuộc đua ngựa vượt rào
",steeplechase
"- noun singular or plural
+ xưởng luyện thép
",steelworks
"- noun
",steeliness
"- noun
+ tháp chuông
",steeple
"- adjective
+ bằng thép , như thép
",steely
"- adjective
+ thuộc, đầy hơi nước
",steamy
"- phrasal verb
+ bị phủ đầy hơi nước
",steam up
"- noun
+ thép
- verb
+ tôi luyện
",steel
"- noun
+ tàu chạy bằng hơi nước
",steamer
"- noun
+ chiến mã
",steed
"- noun
+ bùi nhùi thép
",steel wool
"- noun
+ tàu thủy chạy bằng hơi nước
",steamboat
"- noun
+ xe lăn đường
",steam roller
"- noun
+ sự lén lút, rón rén
",stealth
"- interjection
+ bình tĩnh nào!
",steady (on)!
"- noun
",steadiness
"- noun
+ miếng cá, thịt để nướng
",steak
"- verb
+ ăn cắp, ăn trộm
+ dành được, lấy được cái gì vụng trộm, lén lút
+ chuồn, đi lén
",steal
"- adverb
",steadily
"- noun
",steadfastness
"- phrasal verb
+ thức khuya
",stay up
"- adjective
+ kiên định, không dao động
",steadfast
"- adverb
",steadfastly
"- phrasal verb
+ ở ngoài, không về nhà
",stay out
"- phrasal verb
+ ở lại sau
",stay behind
"- phrasal verb
+ không ra ngoài
",stay in
"- adjective
+ vững vàng, vững chắc
+ đều đặn, đều đều
+ kiên định, không thay đổi
+ chín chắn, vững vàng
- verb
+ làm cho, trở nên vững chắc
",steady
"- noun
+ tư thế, thế đứng
",stance
"- adverb
",stealthily
"- noun
",stealthiness
"- verb
+ ở lại, lưu lại
+ ở trong trạng thái, điều kiện, vị trí nào đó
- noun
+ sự lưu lại
",stay
"- adjective
+ lén lút, vụng trộm
",stealthy
"- noun
+ hơi nước
+ năng lượng hơi nước
- verb
+ bốc hơi
+ chạy bằng hơi nước
+ đồ, hấp
- prefix
",steam
"- noun
+ sự chạy toán loạn do kinh sợ
- verb
+ chạy toán loạn
",stampede
"- verb
+ đứng
+ đứng dậy
+ có, đứng, ở
+ có giá trị, không thay đổi
+ đứng vững, bền
+ chịu đựng, giữ vững
+ ra ứng cử
+ đặt, để, dựng
+ trải qua, chịu đựng
+ thết, đãi
- noun
+ vị trí đứng, sự đứng yên
+ giá, bệ , khung
+ gian hàng, quán
+ khán đài
+ ghế nhân chứng trong tòa án
",stand
"- noun
+ vai phụ của hề
+ người chạy việc vặt
",stooge
"- noun
",stoniness
"- noun
+ đá
+ cục đá có bất kì hình dáng nào
+ hòn đá được đục, đẽo để dùng vào một mục đích riêng
+ đá quý, ngọc
+ hạt
+ xtôn
+ sỏi
- verb
+ ném đá vào ai, nói xấu, vu cáo
+ lấy hạt ra
",stone
"- noun
+ công trình xây bằng đá
",stonework
"- adjective
+ đầy đá
+ lạnh lùng, vô tình
",stony
"- adjective
+ lạnh như đá
",stone-cold
"- adverb
",stonily
"- noun
+ đồ gốm làm bắng đất sét có chứa một lượng đá nhỏ
",stoneware
"- noun
+ đau bụng, dạ dày
",stomachache
"- verb
+ dậm mạnh
",stomp
"- noun
+ dạ dày
+ bụng
",stomach
"- noun
",stolidness
"- noun
",stolidity
"- noun
+ khí khổng
+ lỗ thở
+ lỗ thông
",stoma
"- adverb
",stolidly
"- noun
",stoker
"- phrasal verb
+ cho vào đốt, đốt lò
",stoke up
"- adjective
+ dửng dưng, lãnh đạm
",stolid
"- verb
+ cho vào đốt, đốt lò
",stoke
"- noun
+ thức ăn khó tiêu
",stodge
"- adjective
+ khó tiêu, nặng bụng
+ không sống động, tẻ nhạt
",stodgy
"- noun
",stodginess
"- adjective
+ bè bè, chắc nịch
",stocky
"- noun
+ người tích trữ
",stockist
"- noun plural
+ giàn tàu
+ cái cùm
",stocks
"- noun
+ bít tất dài
",stocking
"- noun
+ hàng dự trữ
- verb
+ cất, tích trữ trong kho
",stockpile
"- noun
",stockiness
"- noun
+ người môi giới cổ phiếu
",stockbroker
"- adverb
",stockily
"- noun
+ rào cọc chắn
",stockade
"- noun
+ sự kiểm kê
",stock-taking
"- adjective
+ không nhúc nhích
",stock-still
"- noun
+ thị trường chứng khoán
",stock market
"- phrasal verb
+ để vào kho, cất vào kho
",stock up
"- noun
+ sàn giao dịch chứng khoán
",stock exchange
"- noun
+ chồn ecmin
",stoat
"- noun
+ kho dự trữ
+ hàng dự trữ
+ vật nuôi
+ công trái
+ nước hầm xương
+ bệ đỡ, tay cầm
- adjective
+ thường dùng, thông thường
- verb
+ cung cấp
+ tích trữ vào kho
",stock
"- noun
+ đường khâu, mũi khâu
",stitching
"- phrasal verb
+ nối lại với nhau, vá
",stitch up
"- noun
+ mũi khâu, mũi đan
+ vết chỉ, đường may
+ sự đau xóc hông
- verb
+ khâu, may, đính, đơm
",stitch
"- noun
+ khuông nhạc
",stave
"- noun
",stipulation
"- noun
+ bàn đạp cưỡi ngựa
+ đế đỡ
+ xương bàn đạp
",stirrup
"- adjective
+ kích thích, kích động
",stirring
"- verb
+ xào
",stir-fry
"- phrasal verb
+ gây ra
",stir up
"- verb
+ khuấy, quấy
+ làm lay động, chuyển động
+ kích thích, kích động
- noun
+ sự xôn xao
",stir
"- noun
+ vóc người
+ danh tiếng
",stature
"- adverb
",staunchly
"- noun
+ đạo luật
",statute
"- noun
+ vật sở hữu thể hiện địa vị trong xã hội
",status symbol
"- noun
+ địa vị, thân phận
+ cấp bậc, địa vị xã hội cao
",status
"- noun
",staunchness
"- adjective
+ trung thành, đáng tin cậy
",staunch
"- noun
+ bức tượng
",statue
"- adverb
",statistically
"- noun
+ người bán văn phòng phẩm
",stationer
"- noun
+ nhà thống kê
",statistician
"- noun plural
+ số liệu thống kê
- noun singular
+ khoa học thống kê
",statistics
"- noun
+ xe có ngăn riêng xếp hành lý
",station wagon
"- adjective
",statistical
"- adjective
+ đứng một chỗ
",stationary
"- noun
+ văn phòng phẩm
",stationery
"- noun
+ nghệ thuật quản lí nhà nước
",statesmanship
"- adjective
+ tĩnh tại, không chuyển động
- noun
+ sự nhiễu khí quyển
",static
"- noun
+ nhà ga
+ trạm, điểm, đồn, đài
+ địa vị, chức
- verb
+ đặt vào vị trí
",station
"- noun
+ sự tĩnh điện
",static (electricity)
"- adjective
+ có tài quản lí nhà nước
",statesmanlike
"- noun
+ chính khách
",statesman
"- noun
+ căn nhà có giá trị lịch sử
",stately home
"- noun
+ sự phát biểu, tuyên bố
+ lời phát biểu
+ bản kê in sẵn
",statement
"- noun
+ trạng thái vật chất
",state of matter
"- adjective
+ trang nghiêm, trịnh trọng
",stately
"- noun
",stateliness
"- noun
+ tình trạng, trạng thái
+ nhà nước, quốc gia
+ nghi lễ trọng thể
- verb
+ phát biểu, tuyên bố
",state
"- noun
+ sự đói, chết đói
",starvation
"- verb
+ chết vì đói
+ cảm thấy rất đói
",starve
"- verb
+ làm giật mình, làm hoảng hốt
",startle
"- noun
+ điểm, nơi xuất phát
",starting point
"- phrasal verb
+ dập tắt
+ dẹp, nghiền nát
",stamp out
"- noun
+ người nói lắp
",stammerer
"- noun
+ ngựa giống
",stallion
"- verb
+ giậm chân
+ đóng dấu lên
+ dán tem vào
- noun
+ sự, tiếng giậm chân
+ dấu, con dấu
+ dấu bảo đảm
+ nhãn hiệu
",stamp
"- noun
+ sức chịu đựng
",stamina
"- noun
+ nhị hoa
",stamen
"- noun
+ ngăn, chuồng
+ quán, quầy bán hàng
- verb
+ chết máy, ngừng chạy
+ chòng chành, mất điều khiển
+ làm cho động cơ chết máy, ngừng chạy
- noun
+ tình trạng chòng chành, sự chết máy
- verb
+ đánh trống lảng
",stall
"- noun plural
+ dãy ghế gần sân khấu nhất
",stalls
"- noun
+ tật nói lắp
- verb
+ nói lắp
",stammer
"- noun
+ thế bí
+ sự bế tắc
",stalemate
"- adjective
+ ôi thiu
+ cũ rích, nhạt nhẽo
+ luyện tập quá sức
",stale
"- noun
+ người đi lén theo
",stalker
"- noun
+ thân, cuống
- verb
+ đi hiên ngang, oai vệ
+ đi hiên ngang qua
+ đuổi theo thú săn, kẻ địch
",stalk
"- noun
+ cọc
- noun
+ tiền đặt cược
- verb
+ đặt cược
",stake
"- noun
+ chuông đá
",stalactite
"- noun
+ măng đá
",stalagmite
"- noun
+ cầu thang gác
",staircase
"- noun
+ bục, giàn tạm
+ sự dàn dựng
",staging
"- verb
+ gây vết, làm biến màu
+ trở nên đổi màu, trở nên vấy bẩn
+ nhuộm, làm cho có màu
- noun
+ sự biến màu, chất nhuộm, vết bẩn
",stain
"- verb
+ làm tù đọng
+ làm trì trệ, đình đốn
",stagnate
"- adjective
+ trầm tính, ù lì
",staid
"- noun
+ bậc thang
",stair
"- noun
",stagnation
"- noun
+ inốc
",stainless steel
"- adjective
+ tù, ứ, đọng
+ trì trệ, chậm chạp
",stagnant
"- noun
+ lời đạo diễn
",stage direction
"- noun
+ xe ngựa tuyến
",stagecoach
"- noun
+ người làm công trong việc dọn dẹp phông, cảnh
",stagehand
"- noun
+ người đạo diễn sân khấu
",stage manager
"- noun
+ sự hồi hộp khi đứng trước khán giả
",stage fright
"- verb
+ làm lảo đảo, loạng choạng
+ làm bối rối, choáng váng
+ chéo nhau, bố trí xen kẽ
",stagger
"- adjective
+ gây sửng sốt, làm kinh ngạc
",staggering
"- noun
+ sân khấu
- verb
+ đưa lên sân khấu
+ sắp xếp, tổ chức
- noun
+ thời kì, giai đoạn
+ chặng đường , quãng
+ xe buýt, xe ngựa tuyến
+ động cơ riêng
",stage
"- noun
+ hươu đực
",stag
"- verb
+ làm ổn định
",stabilize
"- noun
+ bữa tiệc của riêng đàn ông
",stag party
